FID,MASK,X,Y,landcover,geology,flowaccum,winter_rad
514,0,749976.2538,3841261.299,4,3,1,2
515,0,732369.7025,3839932.576,1,5,1,3
516,0,735970.6638,3842659.593,3,4,1,2
517,0,726434.1633,3842189.706,8,3,2,2
518,0,735349.8281,3853615.617,10,1,2,2
519,0,750979.9657,3849219.908,1,1,1,2
520,0,755261.7922,3852984.631,1,3,1,3
521,0,749213.7232,3839159.059,4,2,1,3
522,0,754755.7814,3844825.466,4,2,1,2
523,0,746326.6063,3845888.629,3,3,1,3
524,0,752473.0341,3839360.067,4,3,1,3
525,0,748032.2498,3850937.636,0,1,1,3
526,0,755891.0362,3856137.651,1,3,1,3
527,0,743469.9787,3855549.438,4,1,1,3
528,0,745706.4278,3849926.809,14,1,1,3
529,0,752629.1933,3849787.418,10,1,2,3
530,0,732730.6917,3844647.759,11,5,1,3
531,0,734901.5206,3850304.186,6,4,1,3
532,0,750236.1941,3843550.411,3,3,1,1
533,0,731338.8886,3846081.187,10,5,1,3
534,0,737352.0712,3853421.667,10,1,1,2
535,0,748351.0463,3841253.713,3,3,1,2
536,0,732419.0807,3853383.669,3,1,1,2
537,0,755420.6878,3851818.644,1,3,1,2
538,0,745044.0554,3853671.973,8,1,1,3
539,0,736992.0183,3852945.46,10,1,1,3
540,0,725763.076,3839974.562,10,4,2,3
541,0,738688.604,3848515.114,1,4,2,2
542,0,743349.4013,3853663.091,1,1,1,3
543,0,755354.4204,3849722.472,1,2,3,3
544,0,738506.7906,3846083.651,1,2,1,3
545,0,740834.3305,3846914.882,1,1,1,3
546,0,736166.9622,3854575.307,0,2,3,2
547,0,741424.4497,3841349.042,10,2,1,2
548,0,730695.2836,3841046.819,1,5,1,3
549,0,753387.8467,3846134.7,3,4,1,1
550,0,755575.736,3845722.251,1,4,1,2
551,0,738888.3524,3853085.721,0,1,1,2
552,0,753414.2571,3849357.063,14,1,1,3
553,0,740498.3177,3849651.112,1,1,2,2
554,0,726944.1978,3839121.77,10,4,1,3
555,0,756450.3863,3847665.72,10,1,1,3
556,0,755985.6861,3856243.643,1,3,1,3
557,0,749211.4368,3850679.566,1,2,3,3
558,0,743296.469,3855968.194,3,1,1,1
559,0,727534.5366,3844038.356,4,5,1,2
560,0,740645.6673,3840056.662,1,5,2,3
561,0,749482.821,3839416.541,4,2,1,2
562,0,729654.1459,3847515.591,3,5,2,3
563,0,755693.8315,3848090.652,4,1,1,3
564,0,739620.2449,3844005.042,4,2,1,1
565,0,729011.6997,3849635.065,4,5,1,3
566,0,732846.1225,3847708.863,1,3,1,2
567,0,749995.3209,3840212.761,4,3,1,3
568,0,738148.4471,3842382.274,4,1,1,3
569,0,734021.8138,3852239.223,3,1,1,3
570,0,755730.6154,3850340.994,1,2,1,3
571,0,747647.6638,3854687.99,4,2,1,2
572,0,728776.3825,3856030.403,4,3,1,2
573,0,732440.2927,3845585.685,3,5,1,3
574,0,753575.5572,3847996.524,10,1,1,3
575,0,750153.6092,3853570.604,1,2,1,1
576,0,742485.8557,3844801.378,4,2,1,2
577,0,731896.8235,3845235.43,4,5,1,3
578,0,730822.7424,3840386.819,1,5,1,3
